"Date","Open","High","Low","Close","MA ‌ma‌ (13,ema,0)","MA ‌ma‌ (20,ema,0,n)","MA ‌ma‌ (100,ema,0,n)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Bullish ‌dsCandle‌"
"Tue Aug 01 2023 15:15:00 GMT+0530 (India Standard Time)","19735.50","19742.70","19727.40","19736.10","19739.82","19737.77","19713.51","19760.90","19737.36","19713.83","19736.10"
"Wed Aug 02 2023 09:15:00 GMT+0530 (India Standard Time)","19655.40","19673.40","19623.25","19628.35","19723.89","19727.34","19711.83","19785.10","19732.04","19678.97","19628.35"
"Wed Aug 02 2023 09:30:00 GMT+0530 (India Standard Time)","19628.85","19640.20","19620.70","19620.80","19709.17","19717.20","19710.03","19797.24","19725.81","19654.39","19620.80"
"Wed Aug 02 2023 09:45:00 GMT+0530 (India Standard Time)","19620.90","19638.65","19615.70","19635.60","19698.66","19709.43","19708.55","19802.53","19721.07","19639.62","19635.60"
"Wed Aug 02 2023 10:00:00 GMT+0530 (India Standard Time)","19635.70","19638.70","19609.10","19610.70","19686.09","19700.02","19706.61","19808.55","19714.59","19620.63","19610.70"
"Wed Aug 02 2023 10:15:00 GMT+0530 (India Standard Time)","19609.55","19614.15","19595.75","19601.15","19673.96","19690.61","19704.53","19811.95","19707.25","19602.54","19601.15"
"Wed Aug 02 2023 10:30:00 GMT+0530 (India Standard Time)","19601.00","19601.80","19570.00","19577.05","19660.11","19679.79","19702.00","19817.15","19699.21","19581.28","19577.05"
"Wed Aug 02 2023 10:45:00 GMT+0530 (India Standard Time)","19577.25","19580.95","19558.90","19563.00","19646.24","19668.67","19699.25","19821.98","19690.93","19559.89","19563.00"
"Wed Aug 02 2023 11:00:00 GMT+0530 (India Standard Time)","19562.65","19563.90","19524.60","19555.05","19633.21","19657.85","19696.39","19825.58","19682.67","19539.77","19555.05"
"Wed Aug 02 2023 11:15:00 GMT+0530 (India Standard Time)","19555.45","19558.00","19537.15","19537.95","19619.60","19646.43","19693.26","19829.32","19673.97","19518.62","19537.95"
